Bracketed Words,text,GradientWords
"[A, person, Date, Birth, Date, Death, American, diplomat, Africa, Officer, This, person, position, date, 1990, date, 1994, This, person, Bachelor, Arts, BA, prestigious, university, Arts, MA, another, university, This, person, enrolled, period, person, positions, United, Nations, This, person, person, married, Maryland]","A person (Date of Birth – Date of Death) was an American diplomat, U.S. Ambassador to a country in Africa, and Foreign Service Officer. This person was appointed to that position on a date in 1990 and left the post on a date in 1994. This person received a Bachelor of Arts (BA) degree from a prestigious university and a Master of Arts (MA) degree from another well-known university. This person was enrolled in the U.S. Army for a period in the late 1950s. This person served many positions such as the Director of United Nations Political Affairs at the U.S. Department of State. This person was a Foreign Service officer in various cities around the world, as of a year in the early 1960s. In addition, this person served as an executive assistant to the executive vice president of a corporation in New York City for a period in the early 1960s, and in personnel and labor relations for a corporation in a city in the United States from a period in the late 1950s to early 1960s. This person was married, had children, and resided in a city in Maryland.","['this', 'person', 'officer', 'maryland', 'received', 'u', 'state', 'addition', 'date', 'corporation', 'africa', 'country', 'department', 'new', 's']"
"[A, person, 20th, This, individual, resides, 2000s, individual, Their, prominent, fashion, 2000s, well-known, location, major, art, spring, summer, themes, traditional, sports, adventure, climbing, mountainous, fall, winter, year, This, fashion, differing, previous, showings, spring, summer, featured, unique, challenging, wear, even, person, final, fashion, appear, distinctive, bra, iconic, song, played]","A person (born in the late 20th century) is a fashion designer from North America who owns a clothing brand. This individual resides in a large North American city. In the late 2000s, this individual won a significant fashion design competition. Their collection from this event was showcased at a prominent fashion event. In two consecutive years in the late 2000s, the designer began the showings of their collections before the official start of the fashion week, presenting their work at a well-known location of a major art gallery. Their spring/summer collection in one of those years combined themes of traditional sports and adventure. Themes of city life and climbing in a mountainous region were the focus of their fall/winter collection in the same year. This collection was displayed at the same prominent fashion event, differing from the designer's previous seasons' off-site showings. At the next year's fashion week, their spring/summer collection featured unique swimwear that critics described as ""challenging for the models to wear, and even more so for the average person."" During the final fashion show of that year's event, the designer had a model appear wearing a distinctive bra as an iconic song played.","['this', 'individual', 'next', 'person', 'their', 'won', 'collection', 'themes', 'differing', 'resides', 'born', 'city', 'competition', 'who', '/']"
"[Thomas, Keller, American, chef, restaurateur, landmark, Napa, Valley, restaurant, California, In, 2005, American, chef, currently]","Thomas Keller (born October 14, 1955) is an American chef, restaurateur, and cookbook writer. He and his landmark Napa Valley restaurant, The French Laundry in Yountville, California, have won multiple awards from the James Beard Foundation, notably the Best California Chef in 1996, and the Best Chef in America in 1997. The restaurant is a perennial winner in the annual Restaurant Magazine list of the Top 50 Restaurants of the World. In 2005, he was awarded the three star rating in the inaugural Michelin Guide for New York for his restaurant Per Se, and in 2006, he was awarded three stars in the inaugural Michelin Guide to the Bay Area for The French Laundry. He is the only American chef to have been awarded simultaneous three star Michelin ratings for two different restaurants. He currently holds 7 Michelin stars total: 3 at Per Se, 3 at The French Laundry, and 1 at Bouchon.","['thomas', 'landmark', 'born', 'keller', 'chef', 'napa', 'restaurant', 'american', '1955', '14', 'october', 'his', 'valley', 'writer', 'cookbook']"
"[Walter, Gould, Yorkshire, English, former, professional, footballer, nearly, He, Wally, arrived, He, He, time]","Walter \""Wally\"" Gould (born 25 September 1938 in Thrybergh, near Rotherham, South Yorkshire) is an English former professional footballer who made nearly 300 appearances and scored 71 goals in the Football League playing as a winger or forward for Sheffield United, York City and Brighton & Hove Albion. He later played for Durban United and Hellenic in South Africa. Wally Gould arrived on the Stoke City coaching staff at the start of the 1977–78 season to team up with George Eastham who had become manager. He was reserve team coach when Cyril Lea resigned in New Year 1980. Wally then stepped up to be number two to Alan Durban. He subsequently served Richie Barker when he became manager, but left in March 1982. There were rumoured to be differences between Gould and some of the senior players at this time, with one `training ground incident` resulting in Ray Evans, the captain, being suspended for two weeks. Days later Gould was replaced by Bill Asprey.","['professional', 'former', 'english', '300', 'footballer', 'walter', 'who', 'nearly', 'born', 'gould', 'appearances', 'wally', '1938', 'south', 'september']"
"[Alex, Mexican-American, comedian, actor, featured, 2007, ALMA, Awards, family, Texas, United, States, two, twenty-two, Kentucky, seven, years, married, two, children, boy, girl, one-hour, special, aired, Comedy, Central, 2007, called, Alex, Hick-Spanic, also, featured, Showtime, The, Original, Latin, He, ALMA, special, Hick-Spanic, brother-in-law, Ron, White]","Alex Reymundo is a Mexican-American comedian and actor, who was featured on the 2007 ALMA Awards. He was born in Acapulco, Mexico, where he lived until his family moved to Texas in the United States where lived from the age of two to twenty-two. He lived in Kentucky for seven years. Reymundo is married and has two children, a boy and a girl. Reymundo had a one-hour special that aired on Comedy Central in 2007 called Alex Reymundo Hick-Spanic: Live in Albuquerque. He was also featured in the Showtime and Comedy Central special The Original Latin Kings of Comedy along with other Latin comedians such as George Lopez and Paul Rodriguez. He received an ALMA Award in 2008 for \""Outstanding Comedy Special\"" for his one-hour comedy special \""Alex Reymundo Hick-Spanic, Live in Albuquerque.\"" He is currently opening up for fellow comedian (and brother-in-law) Ron White on his tour. His sister is Margo Rey.","['mexican', 'alex', 'comedian', 'featured', 'reymundo', 'born', 'who', 'american', '2007', 'acapulco', 'actor', 'alma', 'has', 'central', 'he']"
"[Thomas, Codrington, British, engineer, Codrington, Macadamised, Codrington's, work, Roman, 1903, first, Roman, The, edition]","Thomas Codrington (1829, Wroughton, Wiltshire - 1918) was a British engineer and antiquarian of the late Victorian era. With a career background as an Inspector for local government, he published several known works. First was Report on the Destruction of Town Refuse, published by Her Majesty's Stationery Office in 1888. This was only a short pamphlet of 48 pages, including illustrations of furnaces in use at the time. Codrington went on to write the slightly more substantial 172 page work The Maintenance of Macadamised Roads in 1879, published by E. & F.N. Spon. However, by far Codrington's most famous work was also one of his last. Roman roads in Britain, published originally in 1903, was the first attempt by any author to catalogue fully the evident remains of the Roman transport network in the United Kingdom. Several further editions were subsequently published, and indeed reprinted. The last of these was a reprint of the 3rd edition in 1928.","['british', 'thomas', 'engineer', '1829', 'codrington', 'background', 'antiquarian', 'works', 'era', 'wroughton', 'victorian', 'wiltshire', 'career', 'local', 'known']"
"[Chris, English, male, tennis, director, chairman, On, appointed, ATP, chairman, Drewett, His, three-year, ATP, involved, Following, Kermode, ATP, Kermode, appointed, Lawn]","Chris Kermode (born 13 January 1965) is a retired English male tennis player, a former tournament director and the current executive chairman & president of the Association of Tennis Professionals (ATP). On 20 November 2013 Kermode was appointed as the ATP executive chairman & president to succeed Brad Drewett who died of an illness in May 2013. His three-year term started on 1 January 2014, and he is based in the ATP’s London office. Kermode has been involved in tennis for more than 30 years. Following his modest career as a professional player from 1985 to 1988, Kermode worked in London as a tennis coach and later served as the tournament director of the Queen's Club Championships. From 2008 to 2014 he has been the managing director of the ATP World Tour's season-ending event ATP World Tour Finals. In addition Kermode has worked in the music and film business. Before being appointed by the ATP Kermode applied for the position of chief executive at the British Lawn Tennis Association (LTA) but was not selected.","['english', 'retired', '13', 'chris', 'kermode', 'former', 'january', 'tournament', 'player', 'born', 'male', 'tennis', '1965', 'current', 'started']"
"[Akira, Masuda, born, May, 1962, Japanese, Kyokushin, kaikan, In, 1991, kumite, supervised, Mas, Oyama, He, Kanazawa, Ishikawa, captain, school, judo, club, When, 16, Kaikan, Ishikawa, Dojo, 19, years, first, All, Japan, Japan, Gerard, Michael, Thompson, Andy, Hug, unable, walk, 1990, gold, medal, All, second, He, Kaikan, Dojo, In, 2007, book, Freestyle, 2009, published, Go, Budojin, Ikiru]","Akira Masuda (born May 22, 1962) is a Japanese Kyokushin kaikan karateka. In March 1991 he completed the 100 man kumite supervised by Mas Oyama. He was born in 1962 in Kanazawa, Ishikawa prefecture, Japan. In junior high school he was captain of the school judo club. When he was 16 years old he joined Kyokushin Kaikan Ishikawa Dojo. At 19 years old he made his debut in his first All Japan Tournament. He remained a top athlete in Kyokushin All Japan Tournaments, going on to beat Michel Wedel, Gerard Gordeau and Michael Thompson. He fought and lost to Andy Hug however Hug was unable to walk after the fight. In 1990 he won a gold medal in the 22nd All Japan Kyokushin Tournament. and in 1991 he placed second in the 5th World Karate Tournament. He is the shihan of Kyokushin Kaikan Masuda Dojo. In 2007 Masuda published the book \""Freestyle Karate\"" and in 2009 he published \""Masuda Akira - Go, Budojin toshite Ikiru\"".","['japanese', 'born', 'masuda', 'akira', 'may', 'completed', 'kumite', '22', 'he', 'kyokushin', '1962', 'supervised', 'kaikan', 'gordeau', 'placed']"
"[Peter, Borsari, Angeles, American-Swiss, His, endearing, charm, unparalleled, paparazzi, celebrities, actively, photographed, 1995, Peter, approximately, transparencies, negatives, contactsheets, images, consists, Archive, distinguishing]","Peter C. Borsari (1939 in Zürich - May 29, 2006 in Los Angeles) was an American-Swiss photographer. His endearing charm and impeccable reputation permitted him exclusive access and unparalleled cooperation from his subjects. The antithesis of today’s paparazzi, he was an invited guest at Hollywood’s premier events as well as celebrities’ personal parties and gatherings. Spanning Presley to Nixon, he actively photographed people, places and events from 1965 to 1995. Peter estimated his archive contained approximately two million images; including transparencies, negatives, prints and contactsheets. Roughly 80% of these images feature celebrities in the entertainment industry. The remainder consists primarily of prominentpoliticians (e.g. Nixon), athletes (e.g. Ali), events (e.g. Malibu fire), sports (e.g. Formula One) and travel destinations (e.g. Switzerland). The Peter C. Borsari Photographic Archive is unequaled in its breadth, exclusivity and sheer magnitude. Most distinguishing is Peter’s singular ability to capture his subjects in their best light.","['american', 'c', 'endearing', 'peter', 'angeles', 'charm', 'swiss', 'his', 'borsari', 'los', 'photographer', '1939', 'zurich', '29', '2006']"
"[A, person, 20th, century, known, artist, major, United, States, Europe, individual, United, latter, 20th, century, They, academically, arts, painting, They, taught, color, understand, relationships, color, aspects, visual, Now, retired, individual, Their, equipped, located, populous, city, They, painted, sculptures, play, light, They, exhibitions, galleries, multiple, including, major, art, The, known, type, plastic, commonly, used, art, create, colorful, light-interactive, painted, pieces, An, untitled, piece, 20th, collection, art, museum, demonstrates, painted, works, institutions, galleries, cities, across, Europe, holding, artist]","A person (born in the 20th century), known as an artist, is based in a major city in the United States. Born in Europe, this individual has lived in the United States since their arrival in the latter half of the 20th century. They are an academically trained painter and were a faculty member at a university in the field of arts and design, specializing in painting. They taught theories of color to understand the relationships between color and various aspects of visual perception. Now retired, this individual focuses on their painting practice. Their studio, equipped for their artistic needs, is located in a populous city. They create painted sculptures that play with light. They have had solo exhibitions at galleries in multiple countries, including major art institutions. The artist is known for their work with a type of plastic that is commonly used in art to create colorful, light-interactive painted pieces. An untitled piece from the latter part of the 20th century, in the collection of an art museum, demonstrates the effect of these painted works. Several renowned art institutions and galleries internationally, including in cities across the United States and Europe, are among the public collections holding paintings by this artist.","['this', 'individual', 'person', 'has', 'born', 'they', 'artist', 'are', 'now', 'their', 'europe', 'focuses', 'including', 'lived', 'states']"
