sample_id,text,top_k_words
436,"A person (Date of Birth – Date of Death) was a U.S. Representative from a state in the Midwest. Born in a small town in the Midwest, this person attended the public schools and the local high school. They graduated from a state university in the Midwest in Year and from the law department of the same university in Year. They were admitted to the bar in Year and commenced practice in their hometown. This person served as district attorney of the county from Year–Year. They served as delegate to the political party State conventions in Years. They served as member of the board of regents of the state university in Years. This person served as member of the state Senate Year–Year. Elected as a member of a political party to the national legislature (Term Start Date – Term End Date), they represented a congressional district. On a specific date, they were one of the representatives who voted against declaring war on a European country. They were an unsuccessful candidate for renomination in Year. They resumed the practice of law. They served as member of the State conservation commission Year-Year. They died in a city in the Midwest, on Date of Death. They were interred in a cemetery in their hometown. Their father had been a member of the state Senate and their uncle was a member of the legislature of the state territory.","[this, person, this, this, person, person, a, they, person, born, in, city, of, territory, a]"
0,"Stephen J. Gordon (born 4 September 1986) is a chess grandmaster from Oldham, Greater Manchester, England. In September 2004 he took a break from his A-level studies at The Blue Coat School, Oldham to compete in the thirteenth Monarch Assurance Isle of Man International. In 2005, while still a FIDE Master, he finished 6th in the British Championships ahead of a Grandmaster and several International Masters. At the EU Individual Open Chess Championship held at Liverpool in 2006, he led the tournament after eight rounds and finished a very creditable (joint) second, a half point behind winner Nigel Short and level with Luke McShane among others. Probably his best result to date however, was second place in the 2007 British Championship, narrowly losing his share of the lead in the final round. In previous rounds, he defeated both tournament victor Jacob Aagaard and previous champion Jonathan Rowson. By 2008, his rating had reached grandmaster level, although the title itself had not yet been secured. At the British Championship in Liverpool, he almost repeated his performance of the previous year, by taking a share of third place. He was the British under-21 Champion each consecutive year between 2005 and 2008. He became a grandmaster on 1 August 2009. He has been one of the co-presenters of the chess podcast The Full English Breakfast since its inaugural show in October 2010.","[is, a, j, stephen, born, gordon, chess, from, he, 4, in, september, grandmaster, took, england]"
201,"Lynn Crawford (born 1964) is a Canadian chef, trained at George Brown College in Toronto. She is known for her appearances on the hit Food Network show Restaurant Makeover, which is seen in over 16 countries worldwide. She was formerly the executive chef at the Four Seasons in Toronto and the former executive chef of the Four Seasons in New York. She appeared on the Food Network's Iron Chef America (the third chef from Canada to do so), in a battle with Iron Chef Bobby Flay. The episode first aired on March 7, 2007 with peanut as the theme ingredient. Crawford lost the battle to Chef Flay. In 2010, Crawford debuted a Food Network Canada series entitled Pitchin' In, in which she goes out to take on the challenge of getting the freshest and best ingredients. In the same year she launched Ruby Watchco, a table d'hôte restaurant, in Toronto's Riverside neighbourhood. She was also nominated for a Gemini Award in the Best Host in a Lifestyle/Practical Information, or Performing Arts Program or Series category for the Pitchin' In shrimp episode. In 2013, Crawford was a contestant on Top Chef Masters, along with Lora Kirk, her sous-chef from Ruby Watchco.","[is, a, lynn, crawford, she, born, 1964, chef, at, is, she, her, canadian, for, known]"
380,"A person (Date of Birth – Date of Death) was a professional from a continent and the initiator of a notable enterprise. This individual was known for their exceptional skill and was described as 'the master of us all' by a respected industry peer and as 'the only true artisan in their field' by another influential figure, who remarked 'The others are simply professionals'. This individual is still honored as a distinguished figure in their industry. On the day of this individual's passing, a major publication ran the headline 'The king is dead' (the community knew who was meant). Since a year in the 21st century, a dedicated exhibition space displays works of this individual in their hometown. A number of items in the collection were provided by this individual's apprentice and patrons including notable personalities.","[this, individual, person, this, a, individual, this, was, this, individual, known, a, of, individual, enterprise]"
163,"Jean Despres (1903–1988) was a perfume industry businessman, known for his work with Coty, Inc. The French-born Jean Despres came to New York in 1921 working for Coty Inc. Starting as a shipping clerk, he went on to become a travelling salesman, covering thousands of miles on the Santa Fe Railroad across America to sell Coty perfumes and gift sets. He soon became a sales manager, and in 1942 was appointed Executive Vice President of Coty, Inc. He held this position for more than 25 years when Pfizer purchased Coty in 1968. Coty, Inc., was a French perfume company created by wealthyFrançois Coty, proprietor of Le Figaro, the French daily newspaper headquartered on the Champs-Élysées in Paris, France and owner of numerous chateaux and villas in France and Corsica. Coty died in 1934. Jean Despres led Coty in New York with Philippe Cortney, brother-in-law of Mrs.Coty-Cotnareanu. He founded the Fragrance Foundation in New York, for the perfume industry,serving as its president. When he retired he appointed Anette Greene. He was a founder of the Toilet Goods Association Inc., Washington, D.C. and served as its president in the 1960s, attending its annual meetings until 1987, a year before his death. With the expansion of department stores in the 1930s and 1940s, he created \""in-store\"" displays and \""in-store\"" merchandising staff, which evolved into the cosmetics counters of today. He was a founding member of the Coty American Fashion Critics' Awards, along with Grover Whalen, created to encourage and honor American talent and American fashion designers. The awards presentation ceremony initially took place at the Metropolitan Club (where he was a member for 50 years) subsequently moved to the Metropolitan Museum of Art and eventually held at Alice Tully Hall, Lincoln Center. He joined the New York Athletic Club when it opened in 1924, was a director of the French Hospital in New York City, of Coty International,the French-American Chamber of Commerce, Compagnie de St. Gobain and Lilly Dache, Inc., a Chevalier of the Confrerie des Chevaliers de Tastevin, and resident of New York City, Poundridge, NY, Delray Beach, Florida and Meudon, France. In the 1940s he became an American Citizen. Despres married milliner and fashion designer Lilly Daché in Palm Beach, Florida on March 13, 1931, a happy, loving marriage for more than 53 years.","[a, was, jean, des, –, for, ##pres, the, 1903, 1988, in, known, businessman, industry, inc]"
7,"José Raúl Capablanca y Graupera (19 November 1888 – 8 March 1942) was a Cuban chess player who was world chess champion from 1921 to 1927. A chess prodigy, he is considered by many as one of the greatest players of all time, widely renowned for his exceptional endgame skill and speed of play. Born in Havana, he beat Cuban champion Juan Corzo in a match at the age of 13 years. His victory over Frank Marshall in a match in 1909 earned him an invitation to the 1911 San Sebastian tournament, which he won ahead of players such as Akiba Rubinstein, Aron Nimzowitsch and Siegbert Tarrasch. During the next several years, Capablanca had a strong series of tournament results. After several unsuccessful attempts to arrange a match with the then world champion Emanuel Lasker, Capablanca finally won the title from Lasker in 1921. Capablanca was undefeated for 8 years from February 10, 1916 to March 21, 1924, a period which included the world championship match with Lasker. Capablanca lost the title in 1927 to Alexander Alekhine, who had never beaten Capablanca before the match. Following unsuccessful attempts to arrange a return match over many years, relations between them became bitter. Capablanca continued his excellent tournament results in this period but withdrew from serious chess in 1931. He made a comeback in 1934, with some good results, but also showed symptoms of high blood pressure. He died in 1942 of \""a cerebral hemorrhage provoked by hypertension\"". Capablanca excelled in simple positions and endgames; Bobby Fischer described him as possessing a \""real light touch\"". He could play tactical chess when necessary, and had good defensive technique. He wrote several chess books during his career, of which Chess Fundamentals was regarded by Mikhail Botvinnik as the best chess book ever written. Capablanca preferred to not present detailed analysis but focused on critical moments in a game. His style of chess was influential in the play of future world champions Bobby Fischer and Anatoly Karpov.","[was, a, who, was, player, jose, chess, november, cuban, raul, ##a, 19, a, march, he]"
209,"Chris Kermode (born 13 January 1965) is a retired English male tennis player, a former tournament director and the current executive chairman & president of the Association of Tennis Professionals (ATP). On 20 November 2013 Kermode was appointed as the ATP executive chairman & president to succeed Brad Drewett who died of an illness in May 2013. His three-year term started on 1 January 2014, and he is based in the ATP’s London office. Kermode has been involved in tennis for more than 30 years. Following his modest career as a professional player from 1985 to 1988, Kermode worked in London as a tennis coach and later served as the tournament director of the Queen's Club Championships. From 2008 to 2014 he has been the managing director of the ATP World Tour's season-ending event ATP World Tour Finals. In addition Kermode has worked in the music and film business. Before being appointed by the ATP Kermode applied for the position of chief executive at the British Lawn Tennis Association (LTA) but was not selected.","[a, is, chris, ke, born, a, player, ##rm, male, ##ode, retired, english, january, 13, 1965]"
26,"Joey McLoughlin (born 3 December 1964) is an English former professional cyclist from Liverpool. He grew up on the Cantril Farm housing estate in Liverpool, the youngest of 10 children. As a child and teenager, he was a neighbour of many people who went on to be famous, including footballers Ian Bishop, David Fairclough and Mick Quinn, musicians Paul Rutherford (Frankie Goes to Hollywood), and most members of The Farm, along with actor and comedian Craig Charles. McLoughlin's talent and aggressive riding as a junior and young senior caused excitement in the British cycling press. He turned professional in 1985 and in his rookie year came 4th in the Dutch one-day classic, the Amstel Gold Race. Riding for the ANC Halfords professional team, he won the 1986 Milk Race following a long attack through the hills and valleys of South Wales on the Carmarthen to Cardiff stage. Despite this early promise his wins were few due to a series of injuries (especially tendinitis) and he was unable to ride the 1987 Tour de France with the ANC team. After that team folded he rode for other professional teams until his retirement in 1991.","[is, an, mc, joey, he, born, english, up, ##lin, on, former, grew, from, 1964, 3]"
245,"A person, CM (a date in the early 20th century – a date in the late 20th century) was a Canadian conductor and pianist. From a year in the late 1930s to a year in the late 20th century, this person was the founding conductor of a major Canadian broadcaster's Chamber Orchestra. This person was a longtime member of a major city's Symphony Orchestra and was married to a violinist from the same orchestra. In a year in the late 1970s this person was made a Member of the Order of Canada, Canada's highest civilian honour, and in a year in the early 1980s was awarded a national music council's medal. Born in a major Canadian city, this person earned an Associates diploma from a music conservatory in a year in the late 1920s. During the early 1930s, this person studied in their native city with two notable music teachers (piano and conducting). This person earned a Bachelor of Arts from a university in the same Canadian city in a year in the mid-1930s and a Bachelor of Music from a university in the neighboring country in the following year. During World War II, this person served in the Canadian Army, after which this person pursued further music studies at a prestigious music school (a year in the mid-1940s), a university in the same city (1946-1947), and another university (1947). At the latter school, this person was a pupil of a notable composer.","[this, this, person, this, person, a, this, person, person, this, in, person, this, in, person]"
86,"Vratislav Lokvenc (born 27 September 1973) is a Czech former professional footballer who played as a striker. After playing youth football for Náchod and Hradec Králové, he began his senior club career with the latter team. After moving to Sparta Prague he won five league titles and one cup, as well as the 1999–2000 league top scorer award. He subsequently played abroad, playing club football in Germany, Austria and Switzerland for 1. FC Kaiserslautern, VfL Bochum, Red Bull Salzburg, FC Basel and FC Ingolstadt 04. He retired in 2009. Lokvenc played international football for the Czech Republic. He played at the 1997 FIFA Confederations Cup before going on to take part in three major competitions. He made three substitute appearances at Euro 2000 and played in one game at Euro 2004. His last international tournament was the 2006 World Cup, where he played in two group matches before missing the third through suspension. The Czech Republic did not qualify for the next round of the competition and Lokvenc subsequently retired from international football in 2006.","[a, is, czech, who, born, september, vr, ##av, ##c, former, a, 1973, ##sl, ##ati, footballer]"
