Attack Index,Bracketed Words,Original Text (Cleaned)
1,"[A, person, Date, Birth, Date, Death, American, diplomat, Africa, Officer, This, person, position, date, 1990, date, 1994, This, person, Bachelor, Arts, BA, prestigious, university, Arts, MA, another, university, This, person, enrolled, period, person, positions, United, Nations, This, person, person, married, Maryland]","A person (Date of Birth – Date of Death) was an American diplomat, U.S. Ambassador to a country in Africa, and Foreign Service Officer. This person was appointed to that position on a date in 1990 and left the post on a date in 1994. This person received a Bachelor of Arts (BA) degree from a prestigious university and a Master of Arts (MA) degree from another well-known university. This person was enrolled in the U.S. Army for a period in the late 1950s. This person served many positions such as the Director of United Nations Political Affairs at the U.S. Department of State. This person was a Foreign Service officer in various cities around the world, as of a year in the early 1960s. In addition, this person served as an executive assistant to the executive vice president of a corporation in New York City for a period in the early 1960s, and in personnel and labor relations for a corporation in a city in the United States from a period in the late 1950s to early 1960s. This person was married, had children, and resided in a city in Maryland."
2,"[Danny, 1942, American, racing, Ongais, native, A, motorcycle, competitor, 1963, 1964, National, Dragster, Ongais, nicknamed, Hawaiian, Formula, Ongais, In, 1996, Ongais, Ongais]","Danny Ongais (born May 21, 1942) is a retired American racing driver. Ongais is the only native Hawaiian to compete in the Indianapolis 500. A motorcycle, sports car, Formula One, and drag racing competitor, he won the American Hot Rod Association AA Gas Dragster Championship in 1963 and 1964, and in the National Hot Rod Association AA Dragster championship title in 1965. A flamboyant figure on the racing circuit, Ongais was nicknamed \""On-Gas\"" and \""The Flyin' Hawaiian.\"" In Formula One, Ongais in six Grands Prix, debuting on October 2, 1977, and recorded a best result of seventh. In 1996, at the age of 54, he served as the substitute driver for Scott Brayton in the Indianapolis 500, as Brayton had died in a crash while practicing shortly before the race. Starting last, Ongais finished 7th in what was his final 500. At the 1981 Indianapolis 500, Ongais was involved in a near-fatal wreck, which caused several arm and leg fractures as well as internal injuries. Four years later, at the Michigan 500, he spun on the exit of turn two and barrel-rolled down the back straight, during a race which had several crashes throughout its duration."
3,"[Nigel, player, Europe, attended, C, years, basketball, averaged, averaged, 17ppg, earned, Alabama, University, played, away, freshman, 6, mpg, mpg, 12, Junior, played, 29, averaging, 22, minutes, per, game, Senior, year, played, 24, Moore, went, play, basketball, Germany, directly, He, played, three, consecutive, years, two, years, TV, Lich, one, season, Giessen, 2006, Rochester, Razorsharks, ABA, Moore, returned, Germany, following, season, Goettingen, BBL, He, left, He, picked, Team, helped, stay, Top, League, Moore, returned, Germany, play, BG, Karlsruhe, 2008, 2009, Returning, Moore, played, top, league, Finland]","Nigel Moore (born September 11, 1981) is an American professional basketball player currently playing in Europe. Moore attended Joseph C. Wilson Magnet High School. He played four years of high school basketball(one freshman, one junior varsity and two varsity seasons). His junior year he averaged 12 points per game along with 8 rebounds. Senior year he averaged 17ppg 13 rpg and 4bpg. Moore earned an academic scholarship to Alabama A&M University in 1999. Moore played right away in college as a freshman. Appearing in 27 games, 6.9 mpg. His sophomore season he appeared in 25 games, 16 mpg, starting in 12 of those games. Junior year he played in 29 games averaging 22 minutes per game. Senior year he played in 27 averaging 24 minutes. Moore went on to play professional basketball in Germany directly after college. He played three consecutive years there (two years for TV Lich, and one season for the Giessen 46ers). 2006 in Rochester for the Razorsharks of the ABA. Moore returned to Germany in the following season for Goettingen in the BBL. He left mid-season and He was picked up by Team Componenta in Finland where he helped them stay in the Top League. Moore then returned to Germany to play for BG Karlsruhe in the 2008–2009 season. Returning to basketball in 2010, Moore played for Korihait in the top league of Finland."
5,"[Macdonald, Mac, Benson, Canadian, Horse, trainer, A, horses, trained, Mac]","Macdonald \""Mac\"" Benson (born June 30, 1930 in Wilmington, Delaware) is a Canadian Horse Racing Hall of Fame trainer. A resident of Woodbridge, Ontario, Benson came to Canada in 1978 to train for E. P. Taylor's renowned Windfields Farm. Since then, horses trained by Benson have won ten Sovereign Awards and four Canadian Classics. Mac Benson embarked on his professional training career in 1958 and began by working for prominent Delaware Thoroughbred owner, William du Pont, Jr. He later would operate a public stable, racing at tracks in Delaware, New Jersey, and Maryland. Among his clients in the early 1970s was another duPont family member, Bayard Sharp, who was a founding director of Delaware Park Racetrack and a former president of The Blood-Horse Inc. magazine. In 1976, Benson was offered a job by the head of operations for Windfields Farm who raced in Canada and the United States, and who maintained breeding operations in Maryland and Ontario. Settling in the Toronto area in 1978, Mac Benson met with instant success as head trainer of the E. P. Taylor racing stable. He remained with Windfields Farm through the death of E. P. Taylor in 1989 and would later train for American George W. Strawbridge, Jr. and Robert J. Costigan of Vancouver, British Columbia. Still active in 2009, at age 76 Mac Benson trained Costigan's filly, Arravale, to 2006 Canadian Horse of the Year honors. In 2002, Mac Benson was inducted in the Canadian Horse Racing Hall of Fame."
6,"[Jim, 1977, lacrosse, Moss, Jim, founded]","Jim Moss (born March 3, 1977 in Toronto, Ontario) is a former professional lacrosse player. Moss was named the National Lacrosse League's Defensive Player of the Year in 2003. Entered into the Brampton Sports Hall of Fame in 2007 as well as the Canadian Lacrosse Hall of Fame as a member of Team Canada in 2007. In 2012, Jim founded \""The Smile Epidemic\"", an online gratitude project where individuals share photos of what has made them smile throughout their day. The project has gone viral, with participants from over 450 cities and 200 countries around the globe. Since this time The Smile Epidemic Inc. has launched Plasticity Labs of which Mr Moss is the Chief Happiness Officer (CEO). Plasticity is a research and technology platform that develops the psychological skills that drive happiness to 1 billion people. Plasticity works small and large enterprises (TD Bank, Lululemon) to help build workplace cultures that can be both high performing and deliver happiness to employees and customers. Plasticity is founded in Positive and Social Psychology principles and uses a behavioral reinforcement approach when training individuals online. Plasticity has raised $1.5M CDN to date, has secured roughly $750K in ARR in its three years of operations. Articles about Plasticity's research findings have been published in the Harvard Business Review and the company recently has recently launched its first book \""Unlocking Happiness at Work\"", authored by co-founder and wife Jennifer Moss. in 2015 Canadian Business Magazine featured Moss and his cofounders on their cover as they were named 2015 Innovators of the Year"
8,"[A, person, 20th, This, individual, resides, 2000s, individual, Their, prominent, fashion, 2000s, well-known, location, major, art, spring, summer, themes, traditional, sports, adventure, climbing, mountainous, fall, winter, year, This, fashion, differing, previous, showings, spring, summer, featured, unique, challenging, wear, even, person, final, fashion, appear, distinctive, bra, iconic, song, played]","A person (born in the late 20th century) is a fashion designer from North America who owns a clothing brand. This individual resides in a large North American city. In the late 2000s, this individual won a significant fashion design competition. Their collection from this event was showcased at a prominent fashion event. In two consecutive years in the late 2000s, the designer began the showings of their collections before the official start of the fashion week, presenting their work at a well-known location of a major art gallery. Their spring/summer collection in one of those years combined themes of traditional sports and adventure. Themes of city life and climbing in a mountainous region were the focus of their fall/winter collection in the same year. This collection was displayed at the same prominent fashion event, differing from the designer's previous seasons' off-site showings. At the next year's fashion week, their spring/summer collection featured unique swimwear that critics described as ""challenging for the models to wear, and even more so for the average person."" During the final fashion show of that year's event, the designer had a model appear wearing a distinctive bra as an iconic song played."
10,"[Thomas, Keller, American, chef, restaurateur, landmark, Napa, Valley, restaurant, California, In, 2005, American, chef, currently]","Thomas Keller (born October 14, 1955) is an American chef, restaurateur, and cookbook writer. He and his landmark Napa Valley restaurant, The French Laundry in Yountville, California, have won multiple awards from the James Beard Foundation, notably the Best California Chef in 1996, and the Best Chef in America in 1997. The restaurant is a perennial winner in the annual Restaurant Magazine list of the Top 50 Restaurants of the World. In 2005, he was awarded the three star rating in the inaugural Michelin Guide for New York for his restaurant Per Se, and in 2006, he was awarded three stars in the inaugural Michelin Guide to the Bay Area for The French Laundry. He is the only American chef to have been awarded simultaneous three star Michelin ratings for two different restaurants. He currently holds 7 Michelin stars total: 3 at Per Se, 3 at The French Laundry, and 1 at Bouchon."
11,"[Peter, Cunningham, Canadian, Champion, Hall, Fame, boxer, writer, Rated, greatest, He, retired, 1996]","Peter \""Sugarfoot\"" Cunningham is a retired Canadian undefeated 7-time World Champion Hall of Fame kickboxer, boxer, martial artist, actor and book writer. Rated by experts as one of the greatest full contact fighters of all time, Sugarfoot was a superb technician who possessed high fighting I.Q. and lightning speed. He retired from kickboxing in 1996 with a record of 50-0-1, having avenged the only draw of his career. Cunningham's skills in the ring have been praised by many Martial Arts legends, including Benny \""The Jet\"" Urquidez, Bill \""Superfoot\"" Wallace, Chuck Norris, Dan Inosanto, Rigan Machado, Don \""The Dragon\"" Wilson and many others. Cunningham maintained a high level competition throughout his career as most of his opponents were either current or former champions. In 1998 in San Jose, California, Peter was honored as the inaugural inductee in the I.S.K.A. Hall of Fame. Cunningham's nickname \""Sugarfoot\"" is a combination of the names of two great fighters in boxing and kickboxing that his style most resembled, \""Sugar\"" Ray Leonard and Bill \""Superfoot\"" Wallace, and it was given to him by his peers at his first dojo in Edmonton, Canada while he was still a teenager. Peter's World Titles included the W.K.A (World Karate Association) Lightweight, Super Lightweight and Junior Walterweight World Titles, the K.I.C.K. (Karate International Council of Kickboxing) Super Lightweight Title, the I.M.F. (International Muay Thai Federation) Junior Welterweight Title, the W.M.A.C World Junior Welterweight Title, and the I.S.K.A. (International Sport Karate Association) Light Welterweight World Title. Sugarfoot is also an actor and has appeared in TV series such as Kung Fu: The Legend Continues and CSI, and in movies such as No Retreat, No Surrender (1986) and The Fighter (2010). After retiring from competition Sugarfoot transitioned into becoming a successful trainer. His time is split between training professional fighters and teaching boxing and kickboxing to kids and adults. Peter has trained many amateur and professional world champions as well as numerous well-known celebrities. Cunningham has written two books, the first of which, a kickboxing training manual \""Civilized Warring\"", was published in 1995. He co-authored his second book, \""Testimonials of a Legendary Champion\"" in 2013."
13,"[Walter, Gould, Yorkshire, English, former, professional, footballer, nearly, He, Wally, arrived, He, He, time]","Walter \""Wally\"" Gould (born 25 September 1938 in Thrybergh, near Rotherham, South Yorkshire) is an English former professional footballer who made nearly 300 appearances and scored 71 goals in the Football League playing as a winger or forward for Sheffield United, York City and Brighton & Hove Albion. He later played for Durban United and Hellenic in South Africa. Wally Gould arrived on the Stoke City coaching staff at the start of the 1977–78 season to team up with George Eastham who had become manager. He was reserve team coach when Cyril Lea resigned in New Year 1980. Wally then stepped up to be number two to Alan Durban. He subsequently served Richie Barker when he became manager, but left in March 1982. There were rumoured to be differences between Gould and some of the senior players at this time, with one `training ground incident` resulting in Ray Evans, the captain, being suspended for two weeks. Days later Gould was replaced by Bill Asprey."
16,"[Alex, Mexican-American, comedian, actor, featured, 2007, ALMA, Awards, family, Texas, United, States, two, twenty-two, Kentucky, seven, years, married, two, children, boy, girl, one-hour, special, aired, Comedy, Central, 2007, called, Alex, Hick-Spanic, also, featured, Showtime, The, Original, Latin, He, ALMA, special, Hick-Spanic, brother-in-law, Ron, White]","Alex Reymundo is a Mexican-American comedian and actor, who was featured on the 2007 ALMA Awards. He was born in Acapulco, Mexico, where he lived until his family moved to Texas in the United States where lived from the age of two to twenty-two. He lived in Kentucky for seven years. Reymundo is married and has two children, a boy and a girl. Reymundo had a one-hour special that aired on Comedy Central in 2007 called Alex Reymundo Hick-Spanic: Live in Albuquerque. He was also featured in the Showtime and Comedy Central special The Original Latin Kings of Comedy along with other Latin comedians such as George Lopez and Paul Rodriguez. He received an ALMA Award in 2008 for \""Outstanding Comedy Special\"" for his one-hour comedy special \""Alex Reymundo Hick-Spanic, Live in Albuquerque.\"" He is currently opening up for fellow comedian (and brother-in-law) Ron White on his tour. His sister is Margo Rey."
